puma_year,Key
3701_2014,4815
3701_2015,4946
3701_2016,4925
3701_2017,4861
3701_2018,4448
3702_2014,8745
3702_2015,8923
3702_2016,10024
3702_2017,9769
3702_2018,9357
3703_2014,5498
3703_2015,5765
3703_2016,5456
3703_2017,5322
3703_2018,5169
3704_2014,6887
3704_2015,6614
3704_2016,6776
3704_2017,6866
3704_2018,6775
3705_2014,15654
3705_2015,15326
3705_2016,15416
3705_2017,15558
3705_2018,15169
3706_2014,9698
3706_2015,9270
3706_2016,8652
3706_2017,8828
3706_2018,8666
3707_2014,10215
3707_2015,9835
3707_2016,9992
3707_2017,9278
3707_2018,9659
3708_2014,11902
3708_2015,12025
3708_2016,11881
3708_2017,11971
3708_2018,12332
3709_2014,12691
3709_2015,12248
3709_2016,12548
3709_2017,11872
3709_2018,11036
3710_2014,19399
3710_2015,19484
3710_2016,19535
3710_2017,18262
3710_2018,17294
3801_2014,10244
3801_2015,10327
3801_2016,10515
3801_2017,10637
3801_2018,10054
3802_2014,8495
3802_2015,8154
3802_2016,8331
3802_2017,7570
3802_2018,7646
3803_2014,11476
3803_2015,11844
3803_2016,12765
3803_2017,12077
3803_2018,11174
3804_2014,13061
3804_2015,12744
3804_2016,12360
3804_2017,11985
3804_2018,11645
3805_2014,5929
3805_2015,5981
3805_2016,6386
3805_2017,6559
3805_2018,6717
3806_2014,9016
3806_2015,8921
3806_2016,9078
3806_2017,9636
3806_2018,9258
3807_2014,26076
3807_2015,25577
3807_2016,25517
3807_2017,24998
3807_2018,25998
3808_2014,6875
3808_2015,7149
3808_2016,7109
3808_2017,7702
3808_2018,7996
3809_2014,10329
3809_2015,10498
3809_2016,11112
3809_2017,10512
3809_2018,10132
3810_2014,12994
3810_2015,12823
3810_2016,13130
3810_2017,13160
3810_2018,13899
3901_2014,4456
3901_2015,4294
3901_2016,4107
3901_2017,4052
3901_2018,3967
3902_2014,6165
3902_2015,5869
3902_2016,5720
3902_2017,5643
3902_2018,5329
3903_2014,12173
3903_2015,12022
3903_2016,11959
3903_2017,11599
3903_2018,11456
4001_2014,8650
4001_2015,8725
4001_2016,8547
4001_2017,8619
4001_2018,8618
4002_2014,8819
4002_2015,8315
4002_2016,8392
4002_2017,8650
4002_2018,8536
4003_2014,10871
4003_2015,9831
4003_2016,9671
4003_2017,9586
4003_2018,9773
4004_2014,11379
4004_2015,10646
4004_2016,10949
4004_2017,11016
4004_2018,11071
4005_2014,5617
4005_2015,5345
4005_2016,5576
4005_2017,5277
4005_2018,5453
4006_2014,10972
4006_2015,9696
4006_2016,9540
4006_2017,9239
4006_2018,9458
4007_2014,13732
4007_2015,12763
4007_2016,12379
4007_2017,11907
4007_2018,12156
4008_2014,14327
4008_2015,13370
4008_2016,12533
4008_2017,12510
4008_2018,12320
4009_2014,9555
4009_2015,9716
4009_2016,9557
4009_2017,9090
4009_2018,8456
4010_2014,8687
4010_2015,8596
4010_2016,8804
4010_2017,8108
4010_2018,8266
4011_2014,7449
4011_2015,7282
4011_2016,7123
4011_2017,6662
4011_2018,6382
4012_2014,6045
4012_2015,6098
4012_2016,6006
4012_2017,5997
4012_2018,6072
4013_2014,4469
4013_2015,4633
4013_2016,4900
4013_2017,4682
4013_2018,3925
4014_2014,3674
4014_2015,3799
4014_2016,3585
4014_2017,3335
4014_2018,3194
4015_2014,6537
4015_2015,6456
4015_2016,6289
4015_2017,6119
4015_2018,5904
4016_2014,5388
4016_2015,5038
4016_2016,4905
4016_2017,5104
4016_2018,4975
4017_2014,5988
4017_2015,5862
4017_2016,5510
4017_2017,5349
4017_2018,5165
4018_2014,6549
4018_2015,6681
4018_2016,6047
4018_2017,5930
4018_2018,6214
4101_2014,9048
4101_2015,8414
4101_2016,8708
4101_2017,8244
4101_2018,7910
4102_2014,9406
4102_2015,8302
4102_2016,8552
4102_2017,9047
4102_2018,8653
4103_2014,8006
4103_2015,7766
4103_2016,8153
4103_2017,8377
4103_2018,8543
4104_2014,2867
4104_2015,2790
4104_2016,2933
4104_2017,2638
4104_2018,2455
4105_2014,7293
4105_2015,7586
4105_2016,7304
4105_2017,6949
4105_2018,7140
4106_2014,4988
4106_2015,4906
4106_2016,4912
4106_2017,5016
4106_2018,4477
4107_2014,5881
4107_2015,5668
4107_2016,5469
4107_2017,5100
4107_2018,5490
4108_2014,3405
4108_2015,3041
4108_2016,2951
4108_2017,2980
4108_2018,2975
4109_2014,6074
4109_2015,5492
4109_2016,5207
4109_2017,5496
4109_2018,5515
4110_2014,7001
4110_2015,5999
4110_2016,6112
4110_2017,6159
4110_2018,5822
4111_2014,6646
4111_2015,6215
4111_2016,6065
4111_2017,5281
4111_2018,5416
4112_2014,16640
4112_2015,16102
4112_2016,14898
4112_2017,13675
4112_2018,13272
4113_2014,5878
4113_2015,5619
4113_2016,5547
4113_2017,5504
4113_2018,5566
4114_2014,7345
4114_2015,7137
4114_2016,7533
4114_2017,7089
4114_2018,6861
